episode, 	score, 	total_loss, 	actor_loss, 	critic_loss, 	entropy
12543, 	0.100000, 	0.234467, 	-0.159356, 	0.003940, 	1.357023
12544, 	0.000000, 	0.143180, 	-0.102569, 	0.002459, 	1.356789
12545, 	0.100000, 	0.206731, 	-0.052716, 	0.002596, 	1.356347
12546, 	0.100000, 	0.139911, 	-0.048480, 	0.001885, 	1.357664
12547, 	1.200000, 	0.051504, 	-0.023305, 	0.000749, 	1.357859
12548, 	0.800000, 	0.655067, 	-0.167941, 	0.008231, 	1.350809
12549, 	0.100000, 	0.688756, 	-0.084887, 	0.007738, 	1.350255
12550, 	0.200000, 	0.535778, 	-0.079981, 	0.006159, 	1.351731
12551, 	0.500000, 	0.386889, 	-0.055842, 	0.004429, 	1.350202
12552, 	0.100000, 	0.572227, 	-0.126004, 	0.006984, 	1.351676
12553, 	0.800000, 	0.631672, 	-0.132778, 	0.007646, 	1.348845
12554, 	0.100000, 	0.043848, 	0.006918, 	0.000371, 	1.349621
12555, 	0.100000, 	0.094050, 	-0.039189, 	0.001334, 	1.349279
12556, 	0.100000, 	0.295850, 	-0.038697, 	0.003347, 	1.349650
12557, 	0.100000, 	0.314830, 	-0.097263, 	0.004122, 	1.352090
12558, 	0.100000, 	0.130675, 	-0.135685, 	0.002665, 	1.354764
12559, 	0.100000, 	0.280840, 	-0.020344, 	0.003013, 	1.355272
12560, 	0.200000, 	0.212897, 	-0.083102, 	0.002961, 	1.355405
12561, 	0.100000, 	0.290920, 	-0.098911, 	0.003900, 	1.354623
12562, 	0.300000, 	0.329359, 	0.040913, 	0.002886, 	1.352911
12563, 	0.100000, 	0.481367, 	-0.196617, 	0.006781, 	1.354498
12564, 	0.200000, 	0.370361, 	0.032620, 	0.003379, 	1.354513
12565, 	0.090000, 	0.321085, 	-0.092423, 	0.004136, 	1.354978
12566, 	0.100000, 	0.318155, 	-0.102735, 	0.004210, 	1.356186
12567, 	0.190000, 	0.204506, 	0.002807, 	0.002018, 	1.357213
12568, 	0.400000, 	0.391841, 	-0.066684, 	0.004587, 	1.361507
12569, 	0.100000, 	0.216325, 	-0.128848, 	0.003453, 	1.362638
12570, 	0.100000, 	0.172135, 	-0.051998, 	0.002243, 	1.362920
12571, 	0.190000, 	0.159269, 	-0.012567, 	0.001720, 	1.364644
12572, 	0.100000, 	0.136633, 	-0.052600, 	0.001894, 	1.365028
12573, 	0.100000, 	0.002286, 	-0.001170, 	0.000036, 	1.366001
12574, 	0.100000, 	0.120689, 	-0.060064, 	0.001809, 	1.365637
12575, 	0.200000, 	0.251468, 	-0.038077, 	0.002897, 	1.365909
12576, 	0.500000, 	0.360447, 	-0.094420, 	0.004550, 	1.363156
12577, 	0.000000, 	0.048689, 	-0.069671, 	0.001185, 	1.363034
12578, 	0.100000, 	0.124554, 	0.032871, 	0.000918, 	1.362419
12579, 	0.100000, 	0.328702, 	-0.066249, 	0.003951, 	1.363773
12580, 	0.100000, 	0.325804, 	-0.076604, 	0.004025, 	1.365668
12581, 	0.090000, 	0.178053, 	-0.054724, 	0.002329, 	1.366653
12582, 	0.100000, 	0.017228, 	0.007261, 	0.000101, 	1.368962
12583, 	0.000000, 	0.075943, 	-0.048287, 	0.001244, 	1.369551
12584, 	0.100000, 	0.009728, 	-0.006684, 	0.000165, 	1.370962
12585, 	0.100000, 	0.109127, 	-0.043973, 	0.001532, 	1.371650
12586, 	0.090000, 	0.079447, 	-0.078567, 	0.001582, 	1.373468
12587, 	0.190000, 	0.154409, 	0.032181, 	0.001224, 	1.375116
12588, 	0.700000, 	0.281860, 	-0.031463, 	0.003135, 	1.374108
12589, 	0.200000, 	0.248816, 	-0.097194, 	0.003461, 	1.373041
12590, 	0.100000, 	0.303296, 	-0.076049, 	0.003795, 	1.373024
12591, 	0.100000, 	0.140446, 	-0.047659, 	0.001882, 	1.374140
12592, 	0.100000, 	0.188917, 	-0.043263, 	0.002323, 	1.376850
12593, 	0.290000, 	0.139713, 	-0.050080, 	0.001899, 	1.378841
12594, 	0.200000, 	0.454469, 	-0.113521, 	0.005681, 	1.378430
12595, 	0.300000, 	0.301282, 	-0.103260, 	0.004047, 	1.377552
12596, 	0.090000, 	0.130383, 	-0.037168, 	0.001677, 	1.377718
12597, 	0.100000, 	0.093076, 	-0.032917, 	0.001261, 	1.380424
12598, 	0.800000, 	0.267206, 	-0.052951, 	0.003203, 	1.381122
12599, 	0.100000, 	0.103648, 	-0.063919, 	0.001677, 	1.382841
12600, 	0.100000, 	0.373660, 	-0.086532, 	0.004603, 	1.385183
12601, 	0.300000, 	0.141884, 	-0.069508, 	0.002115, 	1.385716
12602, 	0.100000, 	0.107343, 	-0.061753, 	0.001692, 	1.386488
12603, 	0.800000, 	0.068666, 	-0.028160, 	0.000970, 	1.386527
12604, 	0.100000, 	0.255557, 	-0.087258, 	0.003430, 	1.387185
12605, 	0.100000, 	0.129294, 	-0.057871, 	0.001873, 	1.388568
12606, 	0.100000, 	0.402159, 	-0.086287, 	0.004886, 	1.390486
12607, 	0.100000, 	0.141541, 	-0.062925, 	0.002046, 	1.391300
12608, 	0.100000, 	0.005845, 	-0.009598, 	0.000156, 	1.392760
12609, 	0.000000, 	0.111709, 	-0.052113, 	0.001640, 	1.392737
12610, 	0.200000, 	0.275804, 	-0.086487, 	0.003624, 	1.393130
12611, 	0.000000, 	0.072557, 	-0.032457, 	0.001052, 	1.393069
12612, 	0.000000, 	0.124641, 	-0.018641, 	0.001434, 	1.393796
12613, 	0.100000, 	0.059770, 	-0.062354, 	0.001223, 	1.395222
12614, 	0.100000, 	0.054426, 	0.010307, 	0.000443, 	1.396196
12615, 	0.100000, 	0.075169, 	-0.041340, 	0.001166, 	1.396522
12616, 	0.100000, 	0.063452, 	-0.047520, 	0.001111, 	1.398127
12617, 	0.500000, 	0.336932, 	-0.129830, 	0.004669, 	1.393630
12618, 	0.100000, 	0.090140, 	-0.046399, 	0.001367, 	1.390740
12619, 	0.100000, 	0.049849, 	-0.068904, 	0.001189, 	1.392050
12620, 	0.100000, 	0.106879, 	-0.043287, 	0.001503, 	1.389830
12621, 	0.100000, 	-0.004264, 	-0.005116, 	0.000010, 	1.391158
12622, 	0.100000, 	0.055581, 	-0.028618, 	0.000843, 	1.391285
12623, 	0.900000, 	0.247767, 	-0.085422, 	0.003333, 	1.387899
12624, 	0.490000, 	0.185552, 	-0.079411, 	0.002651, 	1.382648
12625, 	0.100000, 	0.233379, 	-0.090571, 	0.003241, 	1.382725
12626, 	0.100000, 	0.266391, 	-0.107282, 	0.003738, 	1.383187
12627, 	0.090000, 	0.168871, 	-0.083802, 	0.002528, 	1.383411
12628, 	0.200000, 	-0.003450, 	-0.063254, 	0.000599, 	1.383103
12629, 	0.100000, 	0.041226, 	-0.069678, 	0.001110, 	1.382714
12630, 	0.100000, 	0.129325, 	-0.084513, 	0.002140, 	1.381990
12631, 	0.000000, 	0.092315, 	-0.021325, 	0.001138, 	1.381495
12632, 	0.100000, 	0.068838, 	-0.023867, 	0.000928, 	1.381363
12633, 	0.200000, 	0.135330, 	-0.119629, 	0.002551, 	1.383231
12634, 	0.100000, 	0.106074, 	0.029857, 	0.000764, 	1.381800
12635, 	0.100000, 	0.041961, 	0.000227, 	0.000419, 	1.381978
12636, 	0.200000, 	0.148158, 	-0.029823, 	0.001781, 	1.382836
